Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C18, C3, C4, C6, C7",1206,7,100n,
"C10, C14, C17, C2, C5, C8",1206,6,1u,
C11,CAP-TH_BD5.0-P2.00-D0.5-FD-A,1,EWH1AM221D11OT,C2988873
"C12, C13",1206,2,10u,
C16,1206,1,100nF,
C9,CAP-TH_BD10.0-P5.00-D0.6-FD,1,CD288H1HM471G200T,C42460494
D1,SMA_L4.3-W2.6-LS5.2-RD,1,SS34_C8678,C8678
"D10, D3, D5, D7, D9",1206,5,LED,
"D2, D4, D6",SOD-123_L2.8-W1.8-LS3.7-RD,3,SD103AW_C181204,C181204
D8,DBS_L8.4-W6.4-P5.10-LS10.2-BL,1,DB107S_C525738,C525738
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J2,IDC-Header_2x03_P2.54mm_Vertical,1,Conn_02x03_Counter_Clockwise,
J3,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Counter_Clockwise,
J4,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm,1,Conn_01x02_Socket,
J5,SolderWire-0.5sqmm_1x04_P4.6mm_D0.9mm_OD2.1mm,1,Conn_01x04_Socket,
L1,IND-SMD_L12.5-W12.5,1,CYH125-68UH,C7431083
"Q1, Q2",SOT-23-3_L2.9-W1.3-P0.95-LS2.4-BR,2,S9013_C402281,C402281
"Q3, Q4",TO-220-3_Horizontal_TabDown,2,BT136-500,
"Q5, Q6, Q7",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,3,AO3400_C2938367,C2938367
"R1, R15, R17, R18, R19, R21, R22, R3, R34, R41, R8, R9",1206,12,10k,
"R10, R11, R2, R33, R4, R42, R5",1206,7,1K,
"R12, R13",1206,2,360,
"R14, R16, R20, R29, R36, R40",1206,6,680,
"R23, R25, R31, R37",1206,4,20k,
"R24, R32",1206,2,0,
"R26, R27, R35, R38",1206,4,680k,
"R28, R39, R6, R7",RES-ADJ-TH_3296W,4,3296W-1-103LF,C34846
R30,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,33k (2W),
"SW1, SW2",SW-SMD_L6.0-W3.5-LS8.0,2,TSB008A2526A,C2888456
"T1, T2",DIP-6_L8.5-W6.4-P2.54-LS7.6-BL,2,MOC3020M,C86911
TH1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,Thermistor_NTC,
TP1,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,Vref_TP,
"TP2, TP3",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,2,VrefAtt2_TP,
TP4,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,GND_TP,
"TP5, TP7",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,2,TC1_TP,
TP6,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,ZCS_TP,
U1,WIFIM-SMD_39P-L25.5-W18.0-P1.27-BL,1,ESP32-WROOM-32D,C473012
"U10, U11, U12, U5, U6, U8, U9",CONN-TH_DB301V-3.5-2P-GN,7,DB301V-3.5-2P-GN,C695629
"U13, U15",SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,2,RS321BXF,C237022
U14,SOP-4_L6.5-W4.6-P2.54-LS10.3-TL,1,EL817S1C(F),C2912100
U2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,TL431BIDBZR,C41283
U3,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TL431ACDR,C67475
U4,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,XL1509-5.0E1,C61063
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,
