Designator,Mid X,Mid Y,Rotation,Layer
C1,40.425,15.953575,270.0,top
C10,53.7,62.991075,0.0,top
C11,72.45,79.916075,90.0,top
C12,46.5,81.541075,270.0,top
C13,51.65,28.816075,0.0,top
C14,68.92,26.608575,90.0,top
C15,65.17,26.696075,90.0,top
C16,25.67,77.47,270.0,top
C17,57.77,26.671075,90.0,top
C18,76.945,26.583575,90.0,top
C2,45.91,4.83,90.0,top
C3,37.875,15.953575,270.0,top
C4,43.125,16.003575,270.0,top
C5,33.08,4.9,90.0,top
C6,37.825,22.166075,270.0,top
C7,35.175,22.166075,270.0,top
C8,48.41,4.81,90.0,top
C9,53.45,81.516075,90.0,top
D1,58.4,66.341075,180.0,top
D10,43.36,4.8375,270.0,top
D2,66.4,36.6,90.0,top
D3,69.025,36.778575,270.0,top
D4,65.9,57.291075,90.0,top
D5,68.2,57.241075,270.0,top
D6,66.325,46.791075,90.0,top
D7,68.875,46.925,270.0,top
D8,16.1,76.791075,270.0,top
D9,5.7,37.191075,0.0,top
J1,4.95,14.196075,180.0,top
J2,20.11,33.221075,270.0,top
J3,15.46,43.461075,270.0,top
L1,70.425,70.166075,0.0,top
Q1,44.55,63.491075,90.0,top
Q2,44.45,46.741075,90.0,top
Q3,21.495,54.0,270.0,top
Q4,21.355,66.211075,270.0,top
Q5,61.925,37.441075,0.0,top
Q6,61.5,58.291075,0.0,top
Q7,61.85,47.591075,0.0,top
R1,38.26,4.97,270.0,top
R10,41.25,61.791075,270.0,top
R11,40.55,45.391075,270.0,top
R12,36.825,59.716075,0.0,top
R13,36.825,62.516075,0.0,top
R14,55.4,36.966075,270.0,top
R15,58.13,36.866075,270.0,top
R16,55.38,57.261075,270.0,top
R17,64.05,34.05,90.0,top
R18,57.98,57.261075,270.0,top
R19,63.6,54.441075,90.0,top
R2,35.66,4.94,270.0,top
R20,55.7,46.891075,270.0,top
R21,58.3,46.891075,270.0,top
R22,63.95,43.8,90.0,top
R23,73.895,26.596075,90.0,top
R24,73.745,9.521075,270.0,top
R25,71.195,9.496075,270.0,top
R26,71.42,26.596075,90.0,top
R27,68.67,9.521075,90.0,top
R28,72.82,15.596075,270.0,top
R29,71.32,19.346075,0.0,top
R3,53.46,4.85,270.0,top
R30,34.2,84.611075,180.0,top
R31,62.695,26.721075,90.0,top
R32,64.27,9.446075,270.0,top
R33,5.75,29.591075,180.0,top
R34,5.75,32.141075,0.0,top
R35,60.245,26.696075,90.0,top
R36,5.75,34.641075,180.0,top
R37,61.745,9.446075,270.0,top
R38,59.245,9.471075,90.0,top
R39,60.845,15.671075,270.0,top
R4,50.96,4.83,270.0,top
R40,59.22,19.121075,0.0,top
R41,42.675,22.553575,90.0,top
R42,40.85,4.9,90.0,top
R5,27.765,40.956075,270.0,top
R6,40.28,38.756075,90.0,top
R7,40.265,31.446075,90.0,top
R8,4.435,25.101075,90.0,top
R9,7.035,25.151075,90.0,top
SW1,38.7,10.328575,0.0,top
SW2,49.44,10.296075,0.0,top
T1,39.05,52.941075,90.0,top
T2,39.1,69.341075,90.0,top
TH1,41.405,26.958575,180.0,top
U1,20.6,17.416075,90.0,top
U10,3.73,66.661075,270.0,top
U11,76.54,36.601075,90.0,top
U12,76.5225,46.568575,90.0,top
U13,75.47,21.421075,0.0,top
U14,33.94,78.531075,270.0,top
U15,63.585,21.396075,0.0,top
U2,32.365,40.356075,180.0,top
U3,31.48,34.226075,90.0,top
U4,58.735005,72.741075,90.0,top
U5,3.67,54.981075,270.0,top
U6,76.7225,56.351075,90.0,top
U7,50.125,22.216075,90.0,top
U8,59.5675,3.468575,0.0,top
U9,68.7675,3.493575,0.0,top
